construction,designed_te,seed,orientation,eta,bandwidth,sample_gc,sample_gaussian_te,sample_canonical_cs,kde_cs
23,0.2756324310709516,1898982615,official-featurewise,0.02,0.34943061653251983,0.4273168073520858,0.2136584036760429,0.1227093422776568,0.0771993539355833
23,0.2756324310709516,1898982615,official-featurewise,0.05,0.8735765413312996,0.4273168073520858,0.2136584036760429,0.1227093422776568,0.012882348469805294
23,0.2756324310709516,1898982615,official-featurewise,0.2,3.4943061653251983,0.4273168073520858,0.2136584036760429,0.1227093422776568,2.3521369236334522e-05
23,0.2756324310709516,1898982615,samplewise,0.02,0.03511469394999431,0.4273168073520858,0.2136584036760429,0.1227093422776568,0.2156828611794568
23,0.2756324310709516,1898982615,samplewise,0.05,0.08778673487498577,0.4273168073520858,0.2136584036760429,0.1227093422776568,0.2101881465113804
23,0.2756324310709516,1898982615,samplewise,0.2,0.3511469394999431,0.4273168073520858,0.2136584036760429,0.1227093422776568,0.0767302775725085
24,1.4204719358378504,933757323,official-featurewise,0.02,0.9246329332677367,2.96853452821269,1.484267264106345,1.2135663747715775,0.029353661027585076
24,1.4204719358378504,933757323,official-featurewise,0.05,2.311582333169342,2.96853452821269,1.484267264106345,1.2135663747715775,0.0028757963565873013
24,1.4204719358378504,933757323,official-featurewise,0.2,9.246329332677368,2.96853452821269,1.484267264106345,1.2135663747715775,4.119621507925331e-06
24,1.4204719358378504,933757323,samplewise,0.02,0.09833855110434646,2.96853452821269,1.484267264106345,1.2135663747715775,0.1787742596899058
24,1.4204719358378504,933757323,samplewise,0.05,0.24584637776086615,2.96853452821269,1.484267264106345,1.2135663747715775,0.12432067025941507
24,1.4204719358378504,933757323,samplewise,0.2,0.9833855110434646,2.96853452821269,1.484267264106345,1.2135663747715775,0.02601288316036765
25,0.204804865648912,1967459721,official-featurewise,0.02,0.33877129955572055,0.36034537541621947,0.18017268770810974,0.10151777278235867,0.055925173022908226
25,0.204804865648912,1967459721,official-featurewise,0.05,0.8469282488893013,0.36034537541621947,0.18017268770810974,0.10151777278235867,0.010449569681092896
25,0.204804865648912,1967459721,official-featurewise,0.2,3.387712995557205,0.36034537541621947,0.18017268770810974,0.10151777278235867,1.4644170342137386e-05
25,0.204804865648912,1967459721,samplewise,0.02,0.031735562840347266,0.36034537541621947,0.18017268770810974,0.10151777278235867,0.18843987749016478
25,0.204804865648912,1967459721,samplewise,0.05,0.07933890710086816,0.36034537541621947,0.18017268770810974,0.10151777278235867,0.24657814285862933
25,0.204804865648912,1967459721,samplewise,0.2,0.31735562840347264,0.36034537541621947,0.18017268770810974,0.10151777278235867,0.06362127605697943
26,0.7735111069350324,173246564,official-featurewise,0.02,0.5499965396782956,1.525168519700327,0.7625842598501635,0.5449207862310883,0.08247747649163806
26,0.7735111069350324,173246564,official-featurewise,0.05,1.374991349195739,1.525168519700327,0.7625842598501635,0.5449207862310883,0.011631299777445037
26,0.7735111069350324,173246564,official-featurewise,0.2,5.499965396782956,1.525168519700327,0.7625842598501635,0.5449207862310883,1.8989702279981202e-05
26,0.7735111069350324,173246564,samplewise,0.02,0.05496866103949288,1.525168519700327,0.7625842598501635,0.5449207862310883,0.19912277797254774
