experiment_kind,model,dimension,component_te_spec,sample_size,source_scale,eta,bandwidth_orientation,replicates,sample_gc_mean,sample_gc_sd,sample_te_mean,sample_te_sd,sample_canonical_cs_mean,sample_canonical_cs_sd,kde_cs_mean,kde_cs_sd,theory_gc,theory_te,theory_cs,max_abs_gc_canonical_error
main,scalar_te_0.05,1,0.05,512,1.0,0.02,samplewise,5,0.08991143239627597,0.03573162141054632,0.044955716198137985,0.01786581070527316,0.023315616284155134,0.009544112738629228,0.2152190097979357,0.03916032594006134,0.1,0.05,0.02592178699925464,9.853229343548264e-16
main,scalar_te_0.05,1,0.05,512,1.0,0.05,official-featurewise,5,0.08991143239627597,0.03573162141054632,0.044955716198137985,0.01786581070527316,0.023315616284155134,0.009544112738629228,0.0015785060867564483,0.0005419155032427822,0.1,0.05,0.02592178699925464,9.853229343548264e-16
main,scalar_te_0.05,1,0.05,512,1.0,0.05,samplewise,5,0.08991143239627597,0.03573162141054632,0.044955716198137985,0.01786581070527316,0.023315616284155134,0.009544112738629228,0.24253133219120643,0.03413165596933418,0.1,0.05,0.02592178699925464,9.853229343548264e-16
main,scalar_te_0.05,1,0.05,512,1.0,0.2,official-featurewise,5,0.08991143239627597,0.03573162141054632,0.044955716198137985,0.01786581070527316,0.023315616284155134,0.009544112738629228,3.988887748107572e-07,1.9000972939085585e-07,0.1,0.05,0.02592178699925464,9.853229343548264e-16
main,scalar_te_0.05,1,0.05,512,1.0,0.2,samplewise,5,0.08991143239627597,0.03573162141054632,0.044955716198137985,0.01786581070527316,0.023315616284155134,0.009544112738629228,0.038523473497718896,0.003915434421241306,0.1,0.05,0.02592178699925464,9.853229343548264e-16
main,scalar_te_0.25,1,0.25,1024,1.0,0.02,official-featurewise,5,0.4951396316266444,0.03877229245810121,0.2475698158133222,0.019386146229050605,0.14492563466531294,0.012770310575634202,0.027002733245166867,0.0018351216662614168,0.5,0.25,0.14645191304295052,1.9984014443252818e-15
main,scalar_te_0.25,1,0.25,1024,1.0,0.02,samplewise,5,0.4951396316266444,0.03877229245810121,0.2475698158133222,0.019386146229050605,0.14492563466531294,0.012770310575634202,0.23774658637779603,0.014431090914330744,0.5,0.25,0.14645191304295052,1.9984014443252818e-15
main,scalar_te_0.25,1,0.25,1024,1.0,0.05,official-featurewise,5,0.4951396316266444,0.03877229245810121,0.2475698158133222,0.019386146229050605,0.14492563466531294,0.012770310575634202,0.0011646183626652373,8.46655865884288e-05,0.5,0.25,0.14645191304295052,1.9984014443252818e-15
main,scalar_te_0.25,1,0.25,1024,1.0,0.05,samplewise,5,0.4951396316266444,0.03877229245810121,0.2475698158133222,0.019386146229050605,0.14492563466531294,0.012770310575634202,0.23931113183883285,0.00883666498726116,0.5,0.25,0.14645191304295052,1.9984014443252818e-15
main,scalar_te_0.25,1,0.25,1024,1.0,0.2,official-featurewise,5,0.4951396316266444,0.03877229245810121,0.2475698158133222,0.019386146229050605,0.14492563466531294,0.012770310575634202,1.356328162671616e-07,1.440640099548902e-08,0.5,0.25,0.14645191304295052,1.9984014443252818e-15
